Ticker,Date_Split,p,d,q,P,D,Q,m,mape,Last_Day_True_Price,T_D1,T_D2,T_D3,T_D4,T_D5,T_D6,T_D7,T_D8,T_D9,T_D10,T_D11,T_D12,T_D13,T_D14,T_D15,P_D1,P_D2,P_D3,P_D4,P_D5,P_D6,P_D7,P_D8,P_D9,P_D10,P_D11,P_D12,P_D13,P_D14,P_D15
EICHERMOT.NS,2024-10-01,0,1,0,5,1,0,5,6.550938469922263,4677.75,-0.19774464218908663,-1.841695309577254,0.9171054960985516,4.711664846213457,4.093848538292983,4.6368425491689385,5.8970679847415965,3.294320937550104,4.74693612714446,5.117843030169419,4.280904280904281,2.2981134092245203,2.4734155376516487,1.2922921343060232,-1.9036888394527285,6.535880221160564,7.177827465416894,7.645178371485095,7.027291080684099,6.485336574625449,6.64911451422422,7.690189621618586,8.310867898590018,7.787503188462017,7.085347175176388,7.101733465386174,8.225771378962111,8.875156991056699,8.324658859527428,7.714569976074069
HEROMOTOCO.NS,2024-10-01,0,1,1,5,1,0,5,9.479177668903525,5145.7001953125,-0.6238237059650645,-3.3503776761430633,-4.234611080208237,-6.962123450688976,-4.59413455219078,-3.0345800318340728,-2.433103184413109,-6.6006641998771345,-6.3159528861798115,-4.914790621796832,-6.407295077409328,-7.322624301198076,-7.544166596921695,-8.191305050845509,-12.167442211782934,11.813689593305437,13.05403943568955,13.353151450485296,13.615669312538541,14.343634628838739,14.143011911494735,15.145751663174078,15.220114817813684,15.669157190453781,16.10982732737875,16.036398006367346,16.954541321046722,16.625183859093543,16.068027610382366,16.50283181463277
GRASIM.NS,2024-10-01,0,1,0,5,1,0,5,4.408180505773797,2633.199951171875,1.2722163383411584,-0.683578928063906,0.5221783478265949,2.0051667099806436,1.4943831986149665,2.379239998713097,2.495061233106738,-1.6177979001050198,0.6740847762852407,0.48420174071193345,-2.677350801583632,-3.3552276756007813,-4.317938374610487,-4.253379996842082,-4.9483537613669055,7.094758031758372,7.977489958532541,7.607244625890636,7.473647196922426,6.9512553381792115,7.311871047767402,8.232153041531905,8.067966856871209,7.949851396960571,7.595474885227198,7.913321209774331,9.231903297134814,8.715105676100984,8.650454976411268,8.026259755995522
KOTAKBANK.NS,2024-10-01,1,1,0,5,1,0,5,3.395913425772464,1767.800048828125,-0.31678343147248506,0.05939171449330464,-1.015390471003019,-0.4299183983668349,-1.878044593572437,-2.076030785637549,-1.3236804937059699,-2.1750238816701053,-0.6024450797544894,-0.2941550570515387,-1.1822617850880326,-1.2444846358378485,-1.346308868126916,-2.624732612990993,-4.522574444727865,5.865618475690799,6.573248931536741,6.431148019654111,6.7253609315372405,6.908648085261864,6.439160025432258,6.956937965646478,6.806446996987736,7.267497516476849,7.50305946162983,7.098066908892943,7.847273049846049,7.457758513271482,7.938637983139383,8.329436764902134
HDFCLIFE.NS,2024-10-01,0,1,0,5,1,0,5,2.006912476613565,723.75,-1.2297097636010363,-1.9758186933290154,-0.7599309153713298,2.5768600226683938,0.4559568625863558,-0.49740595315198616,-0.006906776230569948,-1.7823867929620034,-0.8981001727115717,-2.079445636334197,-1.6649378643134716,-2.1070811744386875,-2.5423177083333335,-3.281519861830743,-5.3471519457038,-1.6173245464069026,-1.070086586568431,-1.1021955082454582,-1.1024023629129898,-1.2922399985496582,-1.311747654364607,-0.9478117085555212,-1.141678657789684,-1.0056409094190926,-1.878852424771094,-2.001758953416821,-1.3316566561371475,-1.806091192715162,-1.9900457716709323,-3.390763275244757
RELIANCE.NS,2024-10-01,1,1,0,5,1,0,5,6.816659099826565,1338.5250244140625,0.09525592654650893,-0.7975232911912116,-0.3119141407126566,0.11019409865595665,0.4015614128957282,-0.4837395990240759,0.009338637509202982,-2.717543515178068,-2.482208025993514,-0.9842960413752713,-2.456061664920384,-4.092192780485385,-4.917731984204205,-4.801929231184811,-6.460467604913983,9.325040078466936,9.837525691426137,9.748460503304788,9.701012527042927,9.292173014285334,9.17034836904066,9.704582488080622,9.721195330593046,9.054356775885426,8.682988589048598,8.527063384223794,8.924919666616383,8.985286487984991,8.34548062918282,8.029510033100653
SBILIFE.NS,2024-10-01,0,1,0,5,1,0,5,6.943759589138401,1716.0,-4.702794357335373,-5.783799533799534,-6.4160824933530005,-3.1847333574628496,-5.352562679833188,-5.469112796383304,-5.078672751402244,-6.247083401624417,-4.825177670636656,-6.529723125182109,-7.351400024129516,-8.511075106534092,-8.741258741258742,-8.948138043597027,-9.865970211429195,7.547480763943748,7.866598401225241,7.814459240133993,8.480427533591211,7.997771403451477,8.211709303442127,8.826757785662098,8.569817750258125,8.766153490710415,7.945445927726953,8.217304352412567,8.800386652475684,8.44893298029945,8.495495246962363,7.26007769665211
COALINDIA.NS,2024-10-01,0,1,1,5,1,0,5,1.9551997155195133,474.1000061035156,0.6644154937632718,-2.742037509521053,-6.844550050468904,-6.021940085002493,-5.262605333437526,-4.6509213302419665,-4.2079755220832755,-6.4965235001119055,-8.268300295797141,-8.078468217143284,-8.173381037995446,-10.556848273825773,-11.084163179502898,-12.666107896534276,-14.174227239380949,6.3974590276174315,6.488733890876132,6.556530319851346,6.29125658688974,6.05662264810085,4.758000726259621,4.6724721072607345,4.756681637578667,4.93203113515523,5.047312902501585,3.9129380231054793,3.733476311651793,4.263186355326474,4.3761736439587855,4.5476432432139795
TECHM.NS,2024-10-01,0,1,0,5,1,0,5,2.9977709522177367,1735.949951171875,-0.011518256718174417,-1.1233042742295811,-1.9240129775171786,-2.1573174472336567,-2.9378727172158277,-7.333156504418636,-7.621183241400581,-5.61939741937607,-5.950628166905306,-2.4424611040846775,-4.893571448562124,-3.145250561462275,-1.831845828063508,-2.8197789422921273,-3.4764813089915116,-7.305653356667284,-6.813501863043434,-6.799105171488284,-7.474584481020466,-6.515411109611578,-7.5077812895217075,-6.845345769710373,-6.578135382775378,-7.506074031779473,-6.344745101042449,-7.657061338449175,-7.297575443461667,-6.900232373917321,-8.08264846277297,-6.603901404400517
ASIANPAINT.NS,2024-10-01,0,1,0,5,1,0,5,8.925245459992306,2989.699951171875,-0.5920310218735206,-1.0603054383249912,0.4064001967693279,0.10536664333623963,0.23246316638399858,-1.8078753624402664,-1.6673865046586134,-2.488540775290424,-3.425089608193365,-3.0906078821566,-4.911859247215231,-7.3669600159597435,-14.937948985167255,-17.220786765368175,-17.366289582617274,10.029924146169355,10.541396121060282,10.612290690468402,10.653116578684164,10.110358504042743,10.43929392935533,10.885181898037716,11.454142173166874,11.48864502335024,10.958984421225267,11.911661317509996,12.501034511826841,12.862179563275006,12.792482759238336,12.079534924873466
